feature,importance_gain,importance_split
run_diff_pred,10528.092394132167,115
away_runs_pred,2664.3403610885143,41
home_runs_pred,1874.3137731552124,44
total_runs_pred,680.8472229242325,28
away_win_pct_30,544.4426120519638,26
away_avg_runs_allowed_60,285.06568717956543,17
away_runs_against_30,275.7164134979248,18
home_avg_runs_allowed_60,249.80840730667114,17
home_runs_against_30,222.28257203102112,17
home_avg_runs_scored_60,220.42871969938278,22
matchup_diff,182.0189051926136,21
lineup_skill_diff,162.56069087982178,15
home_runs_for_30,130.72638976573944,14
home_lineup_skill,116.15352436900139,14
away_sp_ra9_last5,107.3533308506012,9
home_sp_ra9_last5,97.73282194137573,8
away_avg_runs_scored_60,88.38764929771423,10
away_vs_home_sp_matchup,62.77781939506531,8
away_lineup_skill,61.675360679626465,9
away_sp_ip_per_start_last5,36.54051971435547,4
home_win_pct_30,29.344280242919922,4
away_runs_for_30,28.911500930786133,4
away_bp_outs_3d,27.292999744415283,3
home_vs_away_sp_matchup,25.65375030040741,4
home_sp_ip_per_start_last5,22.997040152549744,5
away_bp_hlev_outs_3d,9.850850105285645,2
home_bp_hlev_outs_5d,9.633729934692383,2
home_bp_hlev_outs_1d,8.9904203414917,1
home_bp_outs_3d,7.2998199462890625,1
home_bp_outs_5d,6.34801983833313,2
home_games_in_window_60,0.0,0
away_bp_outs_5d,0.0,0
away_bp_hlev_outs_5d,0.0,0
away_bp_outs_1d,0.0,0
away_bp_hlev_outs_1d,0.0,0
home_bp_outs_1d,0.0,0
home_bp_hlev_outs_3d,0.0,0
away_games_in_window_60,0.0,0
